Substance,EDGAR Country Code,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CO2,EGY,Egypt,0.266491324,0.26963259,0.268206573,0.261485464,0.239749861,0.244773682,0.249993232,0.252382584,0.251218254,0.255751126,0.238629994,0.254558931,0.255287688,0.252600058,0.263014356,0.280080718,0.278255347,0.278020808,0.259629559,0.258172662,0.248255083,0.252890777,0.263284481,0.252945967,0.25051504,0.246469707,0.242781444,0.252794357,0.250971998,0.227188708,0.198921125,0.205202836
CO2,ERI,Eritrea,0.083474841,0.107560679,0.143597905,0.17601686,0.160567028,0.166743937,0.164794733,0.142484826,0.104964038,0.109937499,0.109528419,0.108017586,0.101365439,0.099040792,0.093940431,0.07823171,0.06695527,0.062953889,0.05967512,0.059720575,0.061687496,0.063932501,0.062594959,0.059828391,0.058015511,0.056253188,0.056482772,0.057750743,0.063720221,0.06182615,0.052364994,0.053985031
CO2,ESH,Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2,ESP,Spain and Andorra,0.216818284,0.218318418,0.224227691,0.212941293,0.217046544,0.221931604,0.208885207,0.217593758,0.215185395,0.222418992,0.2229152,0.214743897,0.220596226,0.219687954,0.222985425,0.224192901,0.21021806,0.210346776,0.190859892,0.175404309,0.167600545,0.170065896,0.171579154,0.157883875,0.154099709,0.157671899,0.147991263,0.152485193,0.14563858,0.133528962,0.123882507,0.128623675
CO2,EST,Estonia,1.421014891,1.38845737,1.344771534,1.106176372,1.127079915,1.013703869,1.013879621,0.880342169,0.798818663,0.748682785,0.683474287,0.666637717,0.594588286,0.624607011,0.598053241,0.556043112,0.477083668,0.534232496,0.528212653,0.530095613,0.637574229,0.576728809,0.531338833,0.590277878,0.544077389,0.487080683,0.478440783,0.4740487,0.466399595,0.311481066,0.295718416,0.293491755
CO2,ETH,Ethiopia,0.057091316,0.060722524,0.051100649,0.058420205,0.065477603,0.07004148,0.070461218,0.071701612,0.078929492,0.073990985,0.07765281,0.088970551,0.090102299,0.099118973,0.094494389,0.080796496,0.077764908,0.07637633,0.074771962,0.069199085,0.061311542,0.064229582,0.066489585,0.069346334,0.078280116,0.074661932,0.080848848,0.078392104,0.079874842,0.079493724,0.068828553,0.068862571
CO2,FIN,Finland,0.348730953,0.373417926,0.366075154,0.377883723,0.407069706,0.369340674,0.392503694,0.357436731,0.321563583,0.304646163,0.280247477,0.301760474,0.306480738,0.338015901,0.308691042,0.24819366,0.286081386,0.264007031,0.229803251,0.23901572,0.267684237,0.230441588,0.21007549,0.217033461,0.2013418,0.186484309,0.192524877,0.175473064,0.180227328,0.163280082,0.145936293,0.143781692
CO2,FJI,Fiji,0.162743847,0.143341343,0.141359965,0.144034097,0.145225843,0.148458397,0.14971728,0.164450947,0.163063875,0.158228044,0.202104979,0.209351655,0.165495218,0.19205636,0.238000165,0.203596404,0.214392228,0.188509754,0.146933151,0.129630932,0.189497216,0.138071755,0.130760373,0.134628422,0.141435062,0.140540872,0.130929393,0.13152436,0.130973607,0.136470938,0.161691624,0.174686113
CO2,FLK,Falkland Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2,FRA,France and Monaco,0.196114504,0.206143438,0.197284701,0.188566558,0.181528134,0.182021074,0.186462369,0.178548658,0.182112744,0.173363412,0.166000001,0.164372717,0.160318918,0.160740753,0.156375618,0.154957157,0.14744183,0.141308962,0.138529184,0.137883482,0.13801791,0.130549503,0.130842528,0.128371939,0.115635977,0.116062719,0.115826706,0.114439285,0.108772821,0.104497346,0.09793263,0.099119636
CO2,FRO,Faroes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2,GAB,Gabon,0.357551226,0.269388612,0.280133564,0.275492205,0.263678773,0.282275526,0.304210352,0.27482893,0.303988828,0.31779479,0.324633784,0.324460906,0.312319584,0.346487637,0.310524097,0.291779272,0.268101051,0.229368654,0.252966092,0.24908383,0.25448025,0.23224873,0.22332883,0.218153082,0.21564175,0.213323337,0.219104315,0.183230396,0.173329951,0.171923119,0.172923854,0.1706258
